"","x"
"1"," CEO  meeting at Longshaw estate   plan  fun  walking  "
"2","What will you discover on the school run      RateYourWalk  walking  halfterm "
"3","   Walking   swimming amp   bicycling are great for non running days  And don t overlook strength training  But sometimes you "
"4","The  Walking  Dead Road to  Survival  google  news  android  games  "
"5"," These  boots were made for  walking by Nancy Sinatra"
"6","  Get your Guide at local outlets    The 4th edition is hot off the press  Walking  Cycle  "
"7","The beautiful  CarsingtonWater offers  Walking   Wildlife   Fishing galore   Derbyshire  BirdWatching  Twitching  "
"8"," Derbyshire  Walking Random walks for today    1      2      3  "
"9"," cited  New simple method determines rate at which we burn  calories  walking up  down  flat "
"10","I walked 2 01 mi with     walk  walking"
"11","6 Exercises To Improve Your Ability To Walk Correctly  walking  exercise  gait  footstability  injuryprevention  "
"12","Today I ache but in all the right places  walking my way back to  fitness  core  nopainnogain    "
"13","It s not a country walk unless you ve had to wait for the cows   ThursdayThoughts  walking "
"14","Autumn run  It s cold but beautiful   running  fitness  health  wellness  walking  Oxford "
"15","  In Mayo but where   WildAtlanticWay  mayo  mayotourism  discoverireland  mayonorth  walking  hiking  trekking  ireland  i "
"16","  I hope you have all a good day                             goodday  fog  naturephotography  nature  outside  germany  walking  mountains  field   "
"17","I hope you have all a good day                             goodday  fog  naturephotography  nature  outside  germany  walking  mountains  "
"18"," walking  playing  puppiesofinstagram  pug puppies  dog lifestyleblogger  boris thursday  "
"19","Why not try an Island Hopping walking holiday in Scotland   walking  walkingholiday  scotland "
"20","You just need the right gear  outdoors  motherhood  weather  walking  babyaccesories  lifestyle "
"21","   Walking   swimming amp   bicycling are great for non running days  And don t overlook strength training  But sometimes you "
"22","Walking to Hitler s Eagles Nest in the German Alps   germany  travel  alps  ttot  adventure  "
"23","I walked 3 02 mi with     walk  walking"
"24","Not got time to go for a walk   You have an extra hour this weekend so no excuse to  GetOutside  OutdoorBloggers  "
"25","26 10 17 10 31     Walking 7 2 km in 02 07 06  tracked with  sportstracker"
"26","This is why I love Wales   I have this on my doorstep     jobsatisfaction  walking  getoutdoors  adventure "
"27","My  attitude got me  walking  solo"
"28"," Hiking the  WestHighlandWay  amp  some great reasons why you should  hike it   Scotland  "
"29","  When your bush gives the actual bush a run for its money               bush  walking  hairyishot  natural  babe "
"30"," have you seen the  report on  ActivatingtheCity   cycling  walking "
"31","              Intention  Be more  active              Attention  Keep  walking shoes at the office              Action   Walk 15 mins  during lunch daily  ht "
"32"," ecclespike  chinley  derbyshire  hill  hills  countryside  rural  sky  walk  walking   Buxworth "
"33","Not a soul to be seen  walking  llynbrenig  Wales "
